タイトル名,評価,視聴数,制作会社,声優,主題歌・挿入歌,あらすじ
ダンダダン（2024年製作のアニメ）,4.2,3792,サイエンス SARU,"['若山詩音', '花江夏樹', '水樹奈々', '佐倉綾音', '石川界人', '田中真弓', '中井和哉']","['Creepy Nuts', 'ずっと真夜中でいいのに。']",圧倒的怪奇との遭遇！オカルティックバトル＆青春物語、開幕！！
チ。 ―地球の運動について―（2024年製作のアニメ）,4.2,2803,マッドハウス,"['坂本真綾', '津田健次郎', '速水奨', '小西克幸', '中村悠一']","['サカナクション', 'ヨルシカ']","15世紀のヨーロッパ某国。飛び級で大学への進学を認められた神童・ラファウ。
彼は周囲の期待に応え、当時最も重要とされていた神学を専攻すると宣言。
が、以前から熱心に打ち込んでいる天文への情熱は捨てられずにいた。
ある日、彼はフベルトという謎めいた学者と出会う。
異端思想に基づく禁忌に触れたため拷問を受け、投獄されていたというフベルト。
彼が研究していたのは、宇宙に関する衝撃的な「ある仮説」だった…"
【推しの子】第2期（2024年製作のアニメ）,4.0,8116,動画工房,"['大塚剛央', '伊駒ゆりえ', '潘めぐみ', '石見舞菜香', '大久保瑠美', '内山昂輝', '前田誠二']","['中島健人', 'キタニタツヤ', '羊文学']",新たな舞台の幕が開く──
葬送のフリーレン（2023年製作のアニメ）,4.3,22860,マッドハウス,"['種﨑敦美', '市ノ瀬加那', '小林千晃', '岡本信彦', '東地宏樹']","['YOASOBI', 'milet', 'ヨルシカ']",勇者ヒンメルたちと共に、10年に及ぶ冒険の末に魔王を打ち倒し、世界に平和をもたらした魔法使いフリーレン。
アオのハコ（2024年製作のアニメ）,4.0,1273,テレコム・アニメーションフィルム,"['千葉翔也', '上田麗奈', '鬼頭明里', '小林千晃', '内田雄馬', '坂田将吾', '永瀬アンナ']","['Official髭男dism', 'Eve']",毎朝一番に会いたい人がいる――
来世は他人がいい（2024年製作のアニメ）,3.6,893,スタジオディーン,"['上田瞳', '石田彰', '遊佐浩二', '上田燿司', '中井和哉', '竹内良太', '下崎紘史']","['THE ORAL CIGARETTES', '吉乃']",はみ出しものたちが織りなす極道エンタメ
怪獣8号（2024年製作のアニメ）,4.0,11077,PRODUCTION I.G,"['福西勝也', '瀬戸麻沙美', '加藤渉', 'ファイルーズあい', '河西健吾', '新祐樹', '河本啓佑']","['YUNGBLUD', 'OneRepublic']",怪獣（ヒーロー）、襲来。
薬屋のひとりごと（2023年製作のアニメ）,4.1,21185,TOHO animation STUDIO,"['悠木碧', '大塚剛央', '小西克幸', '種﨑敦美', '石川由依']","['緑黄色社会', 'Uru', 'アイナ・ジ・エンド', 'wacci', 'アオイエマ。', 'XAI']",大陸の中央に位置するとある大国。その国の帝の妃たちが住む後宮に一人の娘がいた。
呪術廻戦 第1期（2020年製作のアニメ）,4.1,53858,MAPPA,"['榎木淳弥', '内田雄馬', '瀬戸麻沙美', '小松未可子', '内山昂輝', '関智一', '木村昴']","['Eve', 'ALI', 'AKLO', 'Cö shu Nie', 'Who-ya Extended']",少年は戦う――「正しい死」を求めて
呪術廻戦 第1期（2020年製作のアニメ）,4.1,53858,MAPPA,"['ヘイリー・スタインフェルド', 'ケイティ・ルング', 'ケヴィン・アレハンドロ', 'エラ・パーネル', 'リード・シャノン', 'アミラー・ヴァン', 'ミック・ウィンガート']","['クリスチャン・リンク', 'アレックス・イー']",少年は戦う――「正しい死」を求めて
逃げ上手の若君（2024年製作のアニメ）,4.0,5296,CloverWorks,"['結川あさき', '矢野妃菜喜', '日野まり', '鈴代紗弓', '悠木碧', '戸谷菊之介', '中村悠一']","['DISH//', 'ぼっちぼろまる']",勝つまで逃げよ
ヴァイオレット・エヴァーガーデン（2018年製作のアニメ）,4.4,33933,京都アニメーション,"['石川由依', '子安武人', '浪川大輔', '遠藤綾', '内山昂輝', '茅原実里', '戸松遥']","['唐沢美帆（TRUE）', '茅原実里']","感情を持たない一人の少女がいた。
彼女の名は、ヴァイオレット・エヴァーガーデン。
戦火の中で、大切な人から告げられた言葉の意味を探している。
戦争が終わり、彼女が出会った仕事は誰かの想いを言葉にして届けること。
――戦争で生き延びた、たった一人の兄弟への手紙
――都会で働き始めた娘から故郷の両親への手紙
――飾らないありのままの恋心をつづった手紙
――去りゆく者から残される者への最期の手紙
手紙…"
HUNTER×HUNTER（2011年製作のアニメ）,4.5,13876,マッドハウス,"['潘めぐみ', '伊瀬茉莉也', '藤原啓治', '沢城みゆき', '浪川大輔', '山寺宏一', '内山昂輝']","['小野正利', 'Fear, and Loathing in Las Vegas', 'ゆず']",くじら島で暮らす少年・ゴンの夢は、幼い頃に別れた父と同じ「ハンター」になること。 世界中に散らばる、財宝、秘宝、珍品、珍獣……「未知」への挑戦に命を賭けるプロハンターになる決意を胸に旅立つゴンは、同じハンター試験合格を目指す受験者のクラピカ、レオリオ、キルアと出会う。超難関で知られるハンター試験を見事突破し、「世界一のハンター」になれるのか!?　ゴンの奇想天外、壮大苛烈な冒険の旅が、今始まる!!
進撃の巨人 Season1（2013年製作のアニメ）,4.4,38199,WIT STUDIO,"['梶裕貴', '石川由依', '井上麻里奈', '小林ゆう', '三上枝織']","['Linked Horizon', '日笠陽子', 'cinema staff']","巨人がすべてを支配する世界。
巨人の餌と化した人類は高さ50メートルの巨大な壁を築き、壁外への自由と引き換えに侵略を防いでいた･･･。
まだ見ぬ壁外の世界を夢見る10歳の少年、エレン･イェーガー。
エレンは仮初めの平和に満足し外の世界へ出ることを諦めた人々に違和感を覚える。
彼らを「家畜」と呼ぶエレン。
エレンを「異物」と感じる人々。
だが、壁をも越える超大型巨人の出現により、エレンの「夢」も人…"
サマータイムレンダ（2022年製作のアニメ）,4.2,28123,OLM,"['花江夏樹', '永瀬アンナ', '白砂沙帆', '日笠陽子', '浦山迅']","['マカロニえんぴつ', 'cadode', '亜咲花', 'りりあ。']","「潮が死んだ―――。」
幼馴染・小舟潮の訃報を聞いた網代慎平は、
2 年ぶりに故郷である和歌山市・日都ヶ島に帰ってきた。
家族や友人との再会。滞りなく行われていく葬儀。
しかし、親友・菱形窓は「潮の死には不審な点があり、他殺の可能性がある」と慎平に告げる。
翌日、近隣の一家が突如として全員消えてしまう事件が発生。
時を同じくして、慎平はある不吉な噂を耳にする。
「自分にそっくりな“影”を見た者は…"
チェンソーマン（2022年製作のアニメ）,4.1,35360,MAPPA,"['戸谷菊之介', '井澤詩織', '楠木ともり', '坂田将吾', 'ファイルーズあい', '伊瀬茉莉也', '高橋花林']","['米津玄師', 'マキシマム ザ ホルモン', 'あの', 'Eve', 'Aimer', 'Kanaria', 'syudou', '女王蜂', 'ずっと真夜中でいいのに。', 'TK from 凛として時雨', 'TOOBOE', 'Vaundy', 'PEOPLE 1']",少年デンジは『チェンソーの悪魔』ポチタと契約し、悪魔の心臓を持つ『チェンソーマン』として蘇る──
僕のヒーローアカデミア 第7期（2024年製作のアニメ）,4.4,5282,ボンズ,"['山下大輝', '岡本信彦', '佐倉綾音', '石川界人', '梶裕貴', '内山昂輝', '下野紘']","['TK from 凛として時雨', '優里', 'Omoinotake', 'ざらめ']",決戦の時が、来た。
らんま 1/2（2024年製作のアニメ）,4.1,952,MAPPA,"['山口勝平', '林原めぐみ', '日髙のり子', '高山みなみ', '井上喜久子', '大塚明夫', 'チョー']","['あの', 'りりあ。']","早乙女乱馬と、天道道場三女の天道あかねは親が決めた許婚同士。
しかし乱馬にはある悩みが…。
中国での修行中、伝説の修行場「呪泉郷」に落ちてしまい、
水をかぶると女に、お湯をかぶると男に戻るという、不思議な体質になってしまっていた！？
乱馬とあかね、そして個性豊かなキャラクターたちが繰り広げるドタバタ格闘ラブコメディー、ここに開幕！"
【推しの子】（2023年製作のアニメ）,4.1,30293,動画工房,"['高橋李依', '大塚剛央', '伊駒ゆりえ', '潘めぐみ', '石見舞菜香']","['YOASOBI', '女王蜂']","「この芸能界（せかい）において嘘は武器だ」地方都市で働く産婦人科医・ゴロー。ある日""推し""のアイドル「B 小町」のアイが彼の前に現れた。彼女はある禁断の秘密を抱えており…。そんな二人の""最悪""の出会いから、運命が動き出していく―。"
鬼滅の刃 柱稽古編（2024年製作のアニメ）,4.1,11059,ufotable,"['花江夏樹', '鬼頭明里', '下野紘', '松岡禎丞', '櫻井孝宏', '小西克幸', '河西健吾']","['MY FIRST STORY', 'HYDE']",想いを繋ぎ、受け継ぐ者――
鬼滅の刃 柱稽古編（2024年製作のアニメ）,4.1,11059,ufotable,"['入野自由', '茅野愛衣', '戸松遥', '櫻井孝宏', '早見沙織', '近藤孝行']","['Galileo Galilei', '茅野愛衣', '戸松遥', '早見沙織']",想いを繋ぎ、受け継ぐ者――
鬼滅の刃 柱稽古編（2024年製作のアニメ）,4.1,11059,ufotable,"['花江夏樹', '鬼頭明里', '下野紘', '松岡禎丞', '櫻井孝宏', '大塚芳忠', '梶裕貴']","['LiSA', 'FictionJunction']",想いを繋ぎ、受け継ぐ者――
リコリス・リコイル（2022年製作のアニメ）,4.1,20844,A-1 Pictures,"['安済知佳', '若山詩音', '小清水亜美', '久野美咲', 'さかき孝輔']","['さユり', 'ClariS']","平穏な日々――その裏には秘密がある
犯罪を未然に防ぐ秘密組織――「DA（Direct Attack）」。
そのエージェントである少女たち――「リコリス」。
当たり前の日常も、彼女たちのおかげ。
歴代最強のリコリスと称されるエリート・錦木千束、優秀だけどワケありリコリス・井ノ上たきなが働く喫茶「リコリコ」もその支部のひとつ。
ここが受けるオーダーは、コーヒーやスイーツの注文から、こどものお世話、買…"
僕のヒーローアカデミア 第1期（2016年製作のアニメ）,4.2,29762,ボンズ,"['山下大輝', '岡本信彦', '佐倉綾音', '石川界人', '梶裕貴', '悠木碧', '広橋涼']","['ポルノグラフィティ', 'Brian the Sun']","ことの始まりは中国・軽慶市から発信された、「発光する赤児」が生まれたというニュース。以後各地で「超常」が発見され、原因も判然としないまま時は流れる――。世界総人口の八割が何らかの特異体質である超人社会となった現在。生まれ持った超常的な力""個性""を悪用する犯罪者・敵（ヴィラン）が増加の一途をたどる中、同じく""個性""を持つ者たちが""ヒーロー""として敵や災害に立ち向かい、人々を救（たす）ける社会が確立…"
呪術廻戦 第2期 懐玉・玉折／渋谷事変（2023年製作のアニメ）,4.2,22363,MAPPA,"['中村悠一', '櫻井孝宏', '遠藤綾', '永瀬アンナ', '子安武人', '清水理沙', '安元洋貴']","['キタニタツヤ', '崎山蒼志', 'King Gnu', '羊文学']",これは、最強の2人の、もう戻れない青い春。
進撃の巨人 Season2（2017年製作のアニメ）,4.4,30196,WIT STUDIO,"['梶裕貴', '石川由依', '井上麻里奈', '小林ゆう', '三上枝織']","['Linked Horizon', '神聖かまってちゃん']","超大型巨人の出現により人類の平和と幻想が破られたあの日から、エレン・イェーガーの果てしない戦いの日々は続く……。
抵抗する術もなく巨人の餌となった母の最期を目の当たりにして、この世から巨人を一匹残らず駆逐することを誓ったエレン。
しかし、過酷な戦いの中で彼自身が巨人の姿に変貌してしまう――。
人類の自由を勝ち取るために巨人の力を振るうエレンは、ウォール・シーナのストヘス区において「女型の巨人」と…"
忘却バッテリー（2024年製作のアニメ）,4.1,6776,MAPPA,"['増田俊樹', '宮野真守', '阿座上洋平', '島﨑信長', '梶裕貴', '山谷祥生', '大塚剛央']","['Mrs. GREEN APPLE', 'マカロニえんぴつ']",巡り合い、再び動き出す 彼らの高校野球ストーリーが いま始まる―！
ブルーロック VS. U-20 JAPAN（2024年製作のアニメ）,4.0,1758,エイトビット,"['浦和希', '内山昂輝', '江口拓也', '古川慎', '花江夏樹']","['UNISON SQUARE GARDEN', 'Snow Man']","日本を W 杯優勝に導く世界一のストライカーを育てるため、
日本フットボール連合は“ブルーロック（青い監獄）”プロジェクトを立ち上げる。
プロジェクトに招待されたのは 300 人の高校生。
しかも全員 FW（フォワード）。
脱落すれば将来、サッカー日本代表へ入る資格を失うという極限状態の中、
選ばれし才能の原石たちは、ストライカーとしてのエゴを次々と覚醒させていく。
時に他人を蹴落とし、時に自ら…"
進撃の巨人 Season3（2018年製作のアニメ）,4.4,28874,WIT STUDIO,"['梶裕貴', '石川由依', '井上麻里奈', '谷山紀章', '小林ゆう', '三上枝織', '下野紘']","['YOSHIKI', 'HYDE', 'Linked Horizon', 'cinema staff']",エレンら104期兵を加え、新たな体制となったリヴァイ班。行動を開始した彼らの前に、最強最悪の敵が立ち塞がる。
進撃の巨人 The Final Season 完結編（後編）（2023年製作のアニメ）,4.6,16605,MAPPA,"['梶裕貴', '石川由依', '井上麻里奈', '下野紘', '三上枝織', '谷山紀章', '嶋村侑']",['Linked Horizon'],終尾の巨人となり、無数の巨人たちとスラトア要塞に進撃するエレン。絶望の淵に立たされた避難民の前に現れたのは、地鳴らしから間一髪で逃れられたミカサ、アルミン、ジャン、コニー、ライナー、ピーク、リヴァイ。かつての仲間たち、そして幼馴染とエレンの戦いがここに終結する。
合コンに行ったら女がいなかった話（2024年製作のアニメ）,3.5,456,葦プロダクション,"['小松未可子', '武内駿輔', '悠木碧', '堀江瞬', '東山奈央', '梶原岳人']","['なすお☆', 'ASOBI同盟']",『合コンから始まる脳内バグコメディ』
オッドタクシー（2021年製作のアニメ）,4.2,42380,P.I.C.S.,"['花江夏樹', '飯田里穂', '木村良平', '山口勝平', '三森すずこ', '小泉萌香', '村上まなつ']","['スカート', 'PUNPEE']","お客さん、どちらまで?見慣れた街のはずなのに、この街は少しなにかが違う気がする。
平凡な毎日を送るタクシー運転手・小戶川。身寄りはなく、他人とあまり関わらない、少し偏屈で無口な変わり者。趣味は寝る前に聞く落語と仕事中に聞くラジオ。一応、友人と呼べるのはかかりつけでもある医者の剛力と、高校からの同級生、柿花ぐらい。彼が運ぶのは、どこかクセのある客ばかり。バズりたくてしょうがない大学生・樺沢、何かを…"
PSYCHO-PASS サイコパス（2012年製作のアニメ）,4.3,22558,PRODUCTION I.G,"['関智一', '花澤香菜', '野島健児', '有本欽隆', '石田彰', '伊藤静', '沢城みゆき']","['凛として時雨', 'EGOIST', ""Nothing's Carved In Stone""]",“正義”に抗え。
進撃の巨人 The Final Season Part 2（2022年製作のアニメ）,4.4,23018,MAPPA,"['梶裕貴', '石川由依', '井上麻里奈', '下野紘', '三上枝織', '谷山紀章', '細谷佳正']","['SiM', 'ヒグチアイ']",その巨人はいついかなる時代においても、自由を求めて進み続けた。
ハイキュー!!（2014年製作のアニメ）,4.4,29903,PRODUCTION I.G,"['村瀬歩', '石川界人', '日野聡', '入野自由', '林勇', '細谷佳正', '岡本信彦']","['SPYAIR', 'スキマスイッチ', 'NICO Touches the Walls', 'tacica']","「週刊少年ジャンプ」で絶賛連載中・次世代王道スポーツ漫画、『ハイキュー!!』が早くもTVアニメ化!制作は、あのProduction I.G! 想いをのせて仲間とボールを""繋ぐ""、それがバレーボール。少年たちの躍動感あふれる激闘を見逃すな!"
僕のヒーローアカデミア 第2期（2017年製作のアニメ）,4.3,22772,ボンズ,"['山下大輝', '岡本信彦', '佐倉綾音', '石川界人', '梶裕貴', '悠木碧', '広橋涼']","['米津玄師', 'Little Glee Monster', 'amazarashi', 'LiSA']",「架空（ゆめ）」は、現実に！」 これは、僕が最高のヒーローになるまでの物語だ。
STEINS;GATE（2011年製作のアニメ）,4.3,18712,WHITE FOX,"['宮野真守', '花澤香菜', '関智一', '今井麻美', '後藤沙緒里', '小林ゆう', '桃井はるこ']",['いとうかなこ'],舞台は2010年夏の秋葉原。厨二病から抜け出せない大学生である岡部倫太郎は、｢未来ガジェット研究所｣を立ち上げ、用途不明の発明品を日々生み出していた。だが、ある日、偶然にも過去へとメールが送れる｢タイムマシン｣を作り出す。世紀の発明と興奮を抑えきれずに、興味本位で過去への干渉を繰り返す。その結果、世界を巻き込む大きな悲劇が、岡部たちに訪れることになるのだが・・・悲劇を回避するために、岡部の孤独な…
BANANA FISH（2018年製作のアニメ）,4.3,23581,MAPPA,"['内田雄馬', '野島健児', '平田広明', '石塚運昇', '細谷佳正', '古川慎', '斉藤壮馬']","['Survive Said The Prophet', 'King Gnu', 'BLUE ENCOUNT']",あの名作コミックがついに映像化！吉田秋生40周年記念プロジェクト『BANANA FISH』
メイドインアビス（2017年製作のアニメ）,4.2,20667,キネマシトラス,"['富田美憂', '伊瀬茉莉也', '井澤詩織', '坂本真綾', '沼倉愛美', '田村睦心', '塙真奈美']","['富田美憂', '伊瀬茉莉也']",隅々まで探索されつくした世界に、唯一残された秘境の大穴『アビス』。どこまで続くとも知れない深く巨大なその縦穴には、奇妙奇怪な生物たちが生息し、今の人類では作りえない貴重な遺物が眠っている。「アビス」の不可思議に満ちた姿は人々を魅了し、冒険へと駆り立てた。そうして幾度も大穴に挑戦する冒険者たちは、次第に『探窟家』呼ばれるようになっていった。アビスの縁に築かれた街『オース』に暮らす孤児のリコは、いつ…
鬼滅の刃 遊郭編（2021年製作のアニメ）,4.2,28085,ufotable,"['花江夏樹', '鬼頭明里', '下野紘', '松岡禎丞', '小西克幸', '沢城みゆき', '逢坂良太']",['Aimer'],交ざりし悪の存意――
ハイキュー!! セカンドシーズン（2015年製作のアニメ）,4.4,22069,PRODUCTION I.G,"['村瀬歩', '石川界人', '日野聡', '入野自由', '林勇', '細谷佳正', '岡本信彦']","['SPYAIR', 'BURNOUT SYNDROMES', 'Galileo Galilei', 'tacica']",すべては、“進化”する―！！
ドラゴンボールDAIMA（2024年製作のアニメ）,3.8,518,東映アニメーション,"['野沢雅子', '小林由美子', '内山昂輝', 'ファイルーズあい', '森久保祥太郎', '榎木淳弥', '日笠陽子']","['C&K', 'AI']",ようこそ、大魔界へ！！ 新たな世界、新たなドラゴンボール
ダンジョン飯 第1期（2024年製作のアニメ）,4.1,9581,TRIGGER,"['熊谷健太郎', '千本木彩花', '泊明日菜', '中博史', '神戸光歩', '早見沙織', '三木晶']","['BUMP OF CHICKEN', '緑黄色社会', 'sumika', 'リーガルリリー']",ダンジョン飯。それは、“食う”か“食われる”か―――
僕のヒーローアカデミア 第3期（2018年製作のアニメ）,4.3,21705,ボンズ,"['山下大輝', '岡本信彦', '佐倉綾音', '石川界人', '梶裕貴', '悠木碧', '広橋涼']","['UVERworld', 'miwa', 'Lenny code fiction', '菅田将暉']",「架空（ゆめ）」は、「現実」に！ これは、僕が最高のヒーローになるまでの物語だ。
鋼の錬金術師 FULLMETAL ALCHEMIST（2009年製作のアニメ）,4.5,13787,ボンズ,"['朴璐美', '釘宮理恵', '高本めぐみ', '麻生美代子', '三木眞一郎', '折笠富美子', '内海賢二']","['YUI', 'シド']",「等価交換」の原則のもと、物質を理解、分解、再構築する最先端の科学「錬金術」。「鋼の錬金術師」の名を背負う兄、エドワード・エルリックと巨大な鎧に魂を定着された弟、アルフォンス・エルリックは失ったものを取り戻すため、「賢者の石」を探す旅に出る。そして兄弟は、大きな陰謀の渦中へと突き進んでいく…。
SPY×FAMILY Season1 第1クール（2022年製作のアニメ）,4.1,41429,WIT STUDIO,"['江口拓也', '種﨑敦美', '早見沙織', '山路和弘', '藤原夏海']","['Official髭男dism', '星野源']",秘密だらけの家族に世界の命運は託された！？
鬼滅の刃 無限列車編（2021年製作のアニメ）,4.1,26179,ufotable,"['花江夏樹', '鬼頭明里', '下野紘', '松岡禎丞', '日野聡', '平川大輔', '石田彰']",['LiSA'],その刃で、悪夢を断ち斬れ
鬼滅の刃 刀鍛冶の里編（2023年製作のアニメ）,4.1,18768,ufotable,"['花江夏樹', '鬼頭明里', '下野紘', '松岡禎丞', '河西健吾']","['MAN WITH A MISSION', 'milet']",迫る悪鬼に、刃を振るえ
魔法少女まどか☆マギカ（2011年製作のアニメ）,4.2,19561,シャフト,"['悠木碧', '斎藤千和', '水橋かおり', '喜多村英梨', '加藤英美里', '松岡禎丞']","['ClariS', 'Kalafina']",大好きな家族がいて、親友がいて、時には笑い、時には泣く、そんなどこにでもある日常。市立見滝原中学校に通う、普通の中学二年生・鹿目まどかも、そんな日常の中で暮らす一人。ある日、彼女に不思議な出会いが訪れる。この出会いは偶然なのか、必然なのか、彼女はまだ知らない。それは、彼女の運命を変えてしまうような出会い--それは、新たなる魔法少女物語の始まり--
Re:ゼロから始める異世界生活（2016年製作のアニメ）,4.0,20572,WHITE FOX,"['小林裕介', '高橋李依', '内山夕実', '水瀬いのり', '村川梨衣', '子安武人', '新井里美']","['鈴木このみ', 'MYTH & ROID']",コンビニからの帰り道、突如として異世界へと召喚されてしまった少年、菜月昴。目の前に広がるファンタジーな異世界に目を輝かせるスバルだったが、自分を召喚したであろう美少女の姿はどこにも見当たらない。やがて右も左もわからない状況にスバルは頭をかかえてしまう。さらに強制イベントと言わんばかりにチンピラに絡まれ、異世界に招かれた人間が超常の力を発揮するといったお約束の展開もなく、容赦なく叩きのめされるスバ…
僕のヒーローアカデミア 第5期（2021年製作のアニメ）,4.3,17717,ボンズ,"['山下大輝', '岡本信彦', '佐倉綾音', '石川界人', '梶裕貴', '悠木碧', '増田俊樹']","['DISH//', 'the peggies', 'MAN WITH A MISSION', '崎山蒼志']",「架空（ゆめ）」は、「現実」に！ これは、僕が最高のヒーローになるまでの物語だ。
僕のヒーローアカデミア 第4期（2019年製作のアニメ）,4.3,20881,ボンズ,"['山下大輝', '岡本信彦', '佐倉綾音', '石川界人', '梶裕貴', '悠木碧', '広橋涼']","['KANA-BOON', '緑黄色社会', 'BLUE ENCOUNT', 'さユり']",「架空（ゆめ）」は、「現実」に！ これは、僕が最高のヒーローになるまでの物語だ。
ブルーロック 第1期（2022年製作のアニメ）,4.1,18027,エイトビット,"['浦和希', '海渡翼', '小野友樹', '斉藤壮馬', '中澤まさとも', '松岡禎丞', '千葉翔也']","['UNISON SQUARE GARDEN', '仲村宗悟', 'ASH DA HERO']","世界一のエゴイストでなければ、世界一のストライカーにはなれない。日本をW杯優勝に導くストライカーを育てるため、日本フットボール連合はある計画を立ち上げる。その名も、“ブルーロック（青い監獄）”プロジェクト。集められたのは300人の高校生。しかも、全員FW（フォワード）。299人のサッカー生命を犠牲に誕生する、日本サッカーに革命を起こすストライカーとは──？
──今、史上最もアツく、最もイカれたサ…"
進撃の巨人 The Final Season 完結編（前編）（2023年製作のアニメ）,4.5,15588,MAPPA,"['梶裕貴', '石川由依', '井上麻里奈', '下野紘', '三上枝織', '谷山紀章', '嶋村侑']",['岸友洋'],「その巨人はいついかなる時代においても、自由を求めて進み続けた。自由のために戦った。名は――進撃の巨人」ついに明かされた壁の外の真実と、巨人の正体。ここに至るまで、人類はあまりにも大きすぎる犠牲を払っていた。それでもなお、彼らは進み続けなければならない。壁の外にある海を、自由の象徴を、まだその目で見ていないのだから。――やがて時は流れ、一度目の「超大型巨人」襲来から6年。調査兵団はウォール・マリ…
負けヒロインが多すぎる！（2024年製作のアニメ）,4.0,3544,A-1 Pictures,"['梅田修一朗', '遠野ひかる', '若山詩音', '寺澤百花', '田中美海', '種﨑敦美', '小林裕介']","['ぼっちぼろまる', 'もっさ', '遠野ひかる', '若山詩音', '寺澤百花']",負けて輝け、少女たち！
ぼっち・ざ・ろっく！（2022年製作のアニメ）,4.2,23686,CloverWorks,"['青山吉能', '鈴代紗弓', '水野朔', '長谷川育美']",['けろりら'],陰キャならロックをやれ！
新世紀エヴァンゲリオン（1995年製作のアニメ）,4.3,20679,GAINAX,"['緒方恵美', '三石琴乃', '山口由里子', '林原めぐみ', '宮村優子', '立木文彦', '石田彰']","['高橋洋子', 'CLAIRE']",西暦2015年。第3新東京市に、さまざまな特殊能力を持つ“使徒”が襲来した。主人公・碇シンジは、人類が“使徒”に対抗する唯一の手段である人型決戦兵器エヴァンゲリオンの操縦者に抜擢されてしまう。今、人類の命運を掛けた戦いの火蓋が切って落とされる。果たして“使徒”の正体とは？　少年たちと人類の運命は？
その着せ替え人形は恋をする（2022年製作のアニメ）,4.1,16089,CloverWorks,"['直田姫奈', '石毛翔弥', '種﨑敦美', '羊宮妃那']","['スピラ・スピカ', 'あかせあかり']",雛人形の顔を作る「頭師（かしらし）」を目指す男子高校生・五条 新菜（わかな）と、同じクラスの人気者・喜多川 海夢（まりん）はまるで別世界の住人。けれどある日、思わぬことをきっかけに、秘密を共有することになって…！？
僕のヒーローアカデミア 第6期（2022年製作のアニメ）,4.4,12092,ボンズ,"['山下大輝', '内山昂輝', '岡本信彦', '梶裕貴', '佐倉綾音', '石川界人', '諏訪部順一']","['SUPER BEAVER', '秋山黄色', 'Eve', 'SIX LOUNGE']",「架空（ゆめ）」は、「現実」に！ これは、僕が最高のヒーローになるまでの物語だ。
