タイトル名,評価,視聴数,制作会社,声優,主題歌・挿入歌,あらすじ
かつて魔法少女と悪は敵対していた。（2024年製作のアニメ）,3.8,748,ボンズ,"['小野友樹', '中原麻衣', '三木眞一郎', '伊瀬茉莉也', '緑川光', '鈴村健一', '川澄綾子']","['Lezel', '小野友樹', '中原麻衣']",“殺し愛（あ）わない”ロマンチックラブコメディ
王様ランキング（2021年製作のアニメ）,4.2,23189,WIT STUDIO,"['日向未南', '村瀬歩', '梶裕貴', '佐藤利奈', '江口拓也', '上田燿司', '安元洋貴']","['King Gnu', 'yama', 'Vaundy', 'milet']","国の豊かさ、抱えている強者どもの数、そして王様自身がいかに勇者のごとく強いか、それらを総合的にランキングしたもの、それが〝王様ランキング〟である。
主人公のボッジは、王様ランキング７位のボッス王が統治する王国の第一王子として生まれた。
ところがボッジは、生まれつき耳が聞こえず、まともに剣すら振れぬほど非力であり、家臣はもちろん民衆からも「とても王の器ではない」と蔑まれていた。
そんなボッジにでき…"
機動戦士ガンダム 水星の魔女（2022年製作のアニメ）,4.0,10227,サンライズ,"['市ノ瀬加那', 'Lynn', '阿座上洋平', '花江夏樹', '古川慎', '宮本侑芽', '富田美憂']","['YOASOBI', 'シユイ']","A.S.（アド・ステラ）122――
数多の企業が宇宙へ進出し、巨大な経済圏を構築する時代。
モビルスーツ産業最大手「ベネリットグループ」が運営する「アスティカシア高等専門学園」に、辺境の地・水星から一人の少女が編入してきた。
名は、スレッタ・マーキュリー。
無垢なる胸に鮮紅の光を灯し、少女は一歩ずつ、新たな世界を歩んでいく。"
コードギアス 反逆のルルーシュ（2006年製作のアニメ）,4.4,15594,サンライズ,"['福山潤', '櫻井孝宏', 'ゆかな', '小清水亜美', '名塚佳織', '折笠富美子', '大原さやか']","['FLOW', 'SunSet Swish', 'ALI PROJECT']",ブリタニア帝国に占領された日本。人を操る能力・ギアスを手にいれたルルーシュが世界を壊そうとする一方、ナイトメアフレームを操り、世界に理想と真実を求めるスザク。2人の対照的な生き方は、やがて帝国を揺るがすうねりとなっていく。
ジョジョの奇妙な冒険 ストーンオーシャン（2021年製作のアニメ）,4.2,10605,デイヴィッドプロダクション,"['ファイルーズあい', '田村睦心', '伊瀬茉莉也', '浪川大輔', '小野大輔']",['ichigo'],恋人とのドライブ中、交通事故に遭遇した空条徐倫は、罠に嵌められて15年の刑期を宣告される
映像研には手を出すな！（2020年製作のアニメ）,4.3,10601,サイエンスSARU,"['伊藤沙莉', '田村睦心', '松岡美里', '花守ゆみり', '小松未可子', '井上和彦']","['chelmico', '神様、僕は気づいてしまった']",高校１年生の浅草みどりは、アニメーションは「設定が命」と力説するほどのアニメ好き。スケッチブックに様々なアイディアを描き貯めながらも、1人では行動できないとアニメ制作への一歩を踏み出せずにいた。そんな浅草の才能に、プロデューサー気質の金森さやかはいち早く気づいていた。さらに、同級生でカリスマ読者モデルの水崎ツバメが、実はアニメーター志望であることが判明し、3人は脳内にある「最強の世界」を表現すべ…
ゆるキャン△（2018年製作のアニメ）,4.1,13274,C-Station,"['花守ゆみり', '東山奈央', '原紗友里', '豊崎愛生', '高橋李依', '井上麻里奈']","['亜咲花', '佐々木恵梨']",これは、ある冬の日の物語。静岡から山梨に引っ越してきた女子高校生・なでしこは、“千円札の絵にもなっている富士山”を見るために自転車を走らせて本栖湖まで行ったものの、あいにく天気はくもり空。富士山も望めず、疲れ果てたなでしこはその場で眠りこけてしまう。目覚めてみるとすっかり夜。初めての場所で、帰り道もわからない。心細さに怯えるなでしこを救ったのは、1人キャンプ好きの女の子・リンだった。冷えた身体を…
ジョジョの奇妙な冒険 ストーンオーシャン 第2クール（2022年製作のアニメ）,4.3,8591,デイヴィッドプロダクション,"['ファイルーズあい', '田村睦心', '伊瀬茉莉也', '種﨑敦美', '梅原裕一郎', '浪川大輔', '小野大輔']",['筱雅律'],"西暦2011年、アメリカ・フロリダ州
空条徐倫は、罠に嵌められ、無実の罪で州立グリーン・ドルフィン・ストリート重警備刑務所――別名「水族館」に収容される。徐倫を救い出そうと面会に訪れた父・空条承太郎だったが、それこそがすべての策略の首謀者・謎のスタンド「ホワイトスネイク」の目的だった。かつて承太郎によって倒されたDIOが求めた『天国へ行く方法』。その記憶をホワイトスネイクは求めていたのだ。
ホワ…"
山田くんとLv999の恋をする（2023年製作のアニメ）,4.0,11411,マッドハウス,"['水瀬いのり', '内山昂輝', '花江夏樹', '加隈亜衣', '大西沙織']","['KANA-BOON', '北澤ゆうほ', '清竜人']",気のせいかな。この距離の名前、知ってるよ
攻殻機動隊 STAND ALONE COMPLEX（2002年製作のアニメ）,4.4,7514,PRODUCTION I.G,"['田中敦子', '阪脩', '大塚明夫', '山寺宏一', '仲野裕', '大川透', '小野塚貴志']","['Origa', 'スコット・マシュー']",西暦2030年、日本。情報ネットワーク化が進む中、犯罪を一掃する攻性組織が設立された。内務省直属独立部隊、公安9課。通称「攻殻機動隊」だ。彼らの任務は、電脳犯罪への対処、要人警護、政治家の汚職摘発など多岐に渡る。“少佐”と呼ばれるサイボーグ・草薙素子を中心に、9課はネットに潜む犯罪に立ち向かう！
銀魂（2006年製作のアニメ）,4.3,11873,サンライズ,"['杉田智和', '阪口大助', '釘宮理恵', '高橋美佳子', '千葉進歩']","['川瀬智子', 'キャプテンストライダム', 'YO-KING', 'Hearts Grow', 'DOES', 'モノブライト', 'Base Ball Bear', 'Prague', '高橋瞳', 'シギ', 'BEAT CRUSADERS']",天人（宇宙人）が来襲して、価値観が変わってしまった町、江戸。宇宙人や高層ビル、バイクなど何でもありの世界で変わらない“魂”を持った最後のサムライがいた。男の名は坂田銀時。いい加減で無鉄砲、でもキメるところはさりげなくキメたりして…。笑えて、泣けて、心温まる、銀さんと仲間たちの生き様、得とご覧あれ！
カウボーイビバップ（1998年製作のアニメ）,4.4,5807,サンライズ,"['山寺宏一', '石塚運昇', '林原めぐみ', '多田葵']","['THE SEATBELTS', '山根麻衣']",ワープゲートで各惑星が結ばれた2071年の太陽系。賞金稼ぎのスパイクとジェット、謎の女フェイ、天才ハッカー少女のエド、人間並みの知能を持つデータ犬アインの4人と1匹が、運命のいたずらから奇妙な共同生活を送ることになる。先の見えない賞金稼ぎを続けながら、彼らはなにを追い求めるのか？(C)サンライズ
天元突破グレンラガン（2007年製作のアニメ）,4.4,5476,GAINAX,"['柿原徹也', '小西克幸', '井上麻里奈', '小野坂昌也', '檜山修之', '伊藤静', '中村大樹']","['中川翔子', 'HIGH VOLTAGE']",遥かな未来。人々は穴を掘って家を作り、地震と落盤に脅えながら何百年も暮らしていた。ある日、穴掘りをしていた少年・シモンは不思議に光る小さなドリルを見つける。一方、シモンの兄貴分・カミナは村の上に「地上」があると信じていたが…。
東京喰種トーキョーグール:re（2018年製作のアニメ）,3.8,9935,ぴえろ,"['花江夏樹', '石川界人', '藤原夏海', '佐倉綾音', '雨宮天', '宮野真守', '岸尾だいすけ']","['Cö shu Nie', '女王蜂']",“金木 研”をめぐる物語はついに最終章へ―――。
ツルネ ―風舞高校弓道部―（2018年製作のアニメ）,4.0,5684,京都アニメーション,"['上村祐翔', '市川蒼', '鈴木崚汰', '矢野奨吾', '石川界人', '浅沼晋太郎', '小野賢章']","['ラックライフ', 'ChouCho']",「その一射が、全ての《出会い》の始まりとなる――。」 第7回京都アニメーション大賞小説部門審査員特別賞受賞作がついにアニメ化！
転生したらスライムだった件 第3期（2024年製作のアニメ）,3.9,2991,エイトビット,"['岡咲美保', '豊口めぐみ', '前野智昭', '古川慎', '千本木彩花', '市道真央（M・A・O）', '江口拓也']","['STEREO DIVE FOUNDATION', '来栖りん', 'ももいろクローバーZ', 'MindaRyn']",聖魔激突――。
杖と剣のウィストリア 第1期（2024年製作のアニメ）,3.7,1250,アクタス,"['天﨑滉平', '関根明良', '天野聡美', '柿原徹也', 'Lynn', '河西健吾']","['PENGUIN RESEARCH', '唐沢美帆（TRUE）']",一人前の魔導士をめざして魔法学院に入学した少年ウィル。努力家の彼には魔導師として致命的な弱点があった。それは、“魔法がまったく使えない”こと。同級生や教師から冷たい視線を浴び、時にはくじけそうになりながらも、強い気持ちで邁進していくウィル。杖は使えなくとも剣を執り、魔法至上主義の世界で戦い抜く。自分だけに与えられた力を信じて。そして、大切な人との約束を守るためにーー
亜人 第2クール（2016年製作のアニメ）,3.8,2820,ポリゴン・ピクチュアズ,"['宮野真守', '細谷佳正', '福山潤', '大塚芳忠', '平川大輔', '櫻井孝宏', '小松未可子']","['angela', 'fripSide', 'クリープハイプ']",高校生・永井圭。下校時、交通事故に遭い、亜人であることが発覚。以降、警察、及び、亜人管理委員会から追われる身となる。圭が逃走中に接触を図ったのが、帽子の男こと亜人・佐藤だった。佐藤は圭を教育するため、彼を亜人管理委員会に引き渡す。が、試みは失敗。佐藤は圭と袂を分かち、独自に集めた亜人協力者と共に、グラント製薬爆破という大規模テロを引き起こす。そして、現在。圭を巻きこみ、亜人テロリスト・佐藤と亜人…
ソードアート・オンライン オルタナティブ ガンゲイル・オンラインII（2024年製作のアニメ）,3.6,272,Studio 3Hz,"['楠木ともり', '日笠陽子', '興津和幸', '赤﨑千夏']","['ReoNa', '楠木ともり']",最強の武器は《負けず嫌い》！時雨沢恵一×黒星紅白が描くもう一つの「ソードアート・オンライン」再充填（リロード）！
トリリオンゲーム（2024年製作のアニメ）,3.6,240,マッドハウス,"['大塚剛央', '石毛翔弥', '市道真央（M・A・O）', '東地宏樹', '田中有紀', '土師孝也', '水中雅章']","['＆TEAM', 'Klang Ruler']",1兆ドル稼いでこの世の全てを手に入れろ！
シャングリラ・フロンティア 2nd season（2024年製作のアニメ）,3.9,382,C2C,"['内田雄馬', '和氣あず未', '日笠陽子', '小市眞琴', '日高里菜', '大塚明夫', '花守ゆみり']","['LiSA', '⾳⽻-otoha-']",「クソゲー以外をプレイするなんて、いつ以来だろうな」
ゴールデンカムイ 第2期（2018年製作のアニメ）,4.2,11964,ジェノスタジオ,"['小林親弘', '白石晴香', '伊藤健太郎', '中田譲治', '菅生隆之', '乃村健次', '大塚芳忠']","['MY FIRST STORY', 'さユり', 'eastern youth']",北の大地・北海道に渦巻く野心！！ アイヌから奪われた金塊を巡る生存競争サバイバル、新章突入ッッ！！！
約束のネバーランド 第2期（2021年製作のアニメ）,3.2,15237,CloverWorks,"['諸星すみれ', '内田真礼', '伊瀬茉莉也', '甲斐田裕子', '藤田奈央', '植木慎英', 'Lynn']","['秋山黄色', 'Myuk']",生き抜く。約束を果たすまで
PSYCHO-PASS サイコパス ３（2019年製作のアニメ）,3.7,9638,PRODUCTION I.G,"['中村悠一', '梶裕貴', '大塚明夫', '諏訪部順一', '名塚佳織', '日笠陽子', '清水理沙']","['Who-ya Extended', 'Cö shu Nie']",「正義」は、新たな世界を切り開く
賭ケグルイ（2017年製作のアニメ）,3.9,10767,MAPPA,"['早見沙織', '田中美海', '徳武竜也', '沢城みゆき', '杉田智和']","['Tia', 'D-selections']",ギャンブルの絶対的な掟。それは、勝負の果てに勝者と敗者が存在すること。勝者は富と栄誉を手にし、敗者は落伍者の烙印を押され、大いなる喪失を味わう。勝負が決するまでの静寂の中、本能は掻き立てられ、欲望は恍惚の境地に到達する。資本主義の社会において、それはまさに人生の残酷なる縮図。人はなぜ、リスクを負う世界に心を奪われるのか？その狂気の先に目にするものとは。現代社会に存在する階級制度を崩壊させる！かつ…
夏目友人帳（2008年製作のアニメ）,4.2,9256,ブレインズ・ベース,"['神谷浩史', '井上和彦', '小林沙苗', '石田彰', '堀江一眞', '木村良平', '菅沼久義']",['NAS'],妖(あやかし)を目に映すことができたため人間に疎まれた夏目レイコは、その寂しさからか、妖たちに勝負を挑み、隷属させる証として名前を書かせたという。その契約書の束｢友人帳｣を手にした孫の夏目貴志もまた、レイコの力を受け継ぎ、人にあらざるものを見ることができた。そして、レイコと同じように、周囲から疎まれる存在でもあった。しかし、唯一の血縁であるレイコの遺したものを大事に想い、レイコが奪った名を妖たち…
BLEACH 千年血戦篇（2022年製作のアニメ）,4.3,4914,スタジオぴえろ,"['森田成一', '折笠富美子', '杉山紀彰', '松岡由貴', '安元洋貴', '伊藤健太郎', '三木眞一郎']","['キタニタツヤ', 'SennaRin']",死神の力を無くした一護は、霊力を持たない普通の高校生として毎日を送っていた。平和な日常だったはずが、ある日突然破られる。
モブサイコ100 II（2019年製作のアニメ）,4.3,8833,ボンズ,"['伊藤節生', '櫻井孝宏', '大塚明夫', '入野自由', '松岡禎丞', '石田彰', '佐武宇綺']",['sajou no hana'],一見目立たない容姿をした男子中学生・影山茂夫。“モブ”と呼ばれるその少年は実はとんでもない霊能力の持ち主だった。師匠である霊幻新隆とともに日常の心霊現象を解決するモブだったが、彼を取り巻く環境も少しずつ変化が現れ始めていた…。
ヴィンランド・サガ シーズン1（2019年製作のアニメ）,4.2,3672,WIT STUDIO,"['石上静香', '上村祐翔', '松田健一郎', '内田直哉', '小野賢章', '大塚明夫', '安元洋貴']","['Survive Said The Prophet', 'Aimer', 'MAN WITH A MISSION', 'milet']",これは“本当の戦士の物語（サガ）” プロローグのその先にある“償いと救済の物語（サガ）”。
響け！ユーフォニアム３（2024年製作のアニメ）,4.5,3788,京都アニメーション,"['黒沢ともよ', '朝井彩加', '豊田萌絵', '安済知佳', '戸松遥', '石谷春貴', '大橋彩香']","['唐沢美帆（TRUE）', '黒沢ともよ', '朝井彩加', '豊田萌絵', '安済知佳']",すれ違う青春、交わる音楽
モノノ怪（2007年製作のアニメ）,4.2,5045,東映アニメーション,"['櫻井孝宏', '田中理恵', '藤田淑子', '塩屋浩三', 'ゆかな', '中尾隆聖', '桑島法子']",['JUJU'],「真（まこと）」「理（ことわり）」「形（かたち）」を見極め、モノノ怪を斬ることのできる退魔の剣を持つ、謎の男「薬売り」。真とは事の有様、理とは心の有様。そして、ものの形を為すのは、人の因果と縁（えにし）。剣に導かれてか、己の意思か、薬売りの行く手には必ずモノノ怪が剣が抜き放たれ、あまたの妖異と対峙するとき、浮かぶこの世のあはれとは・・・？人の心とアヤカシが生み出す凄絶なる惨劇を、薬売りの男と退魔…
黒子のバスケ 第1期（2012年製作のアニメ）,3.9,10166,PRODUCTION I.G,"['小野賢章', '小野友樹', '斎藤千和', '細谷佳正', '浜田賢二']","['GRANRODEO', '前山田健一', 'OLDCODEX']",誠凛高校のバスケ部に超影の薄い新入生、黒子テツヤが入部した。運動能力は平均以下だが、その影の薄さゆえに、相手に気づかれないようにパスを回すことができる…。さらに、誠凛バスケ部は火神大我という超大型新人を獲得する。「影」の黒子と、「光」の火神。ふたりは互いの力に支えられながら、ライバルたちに挑む！
オーバーロード（2015年製作のアニメ）,3.8,5975,マッドハウス,"['日野聡', '原由実', '上坂すみれ', '加藤英美里', '内山夕実', '加藤将之', '三宅健太']","['OxT', 'MYTH & ROID']",時は2138年。一大ブームを巻き起こした仮想現実体感型オンラインゲーム《ユグドラシル》はサービス終了を迎えようとしていた。プレイヤーであるモモンガも仲間と栄華を誇ったギルドで一人静かにその時を待っていた。しかし、終了時間を過ぎてもログアウトしないゲーム。突如として意思を持ち始めたNPCたち。ギルドの外には見たこともない異世界が広がっていた。現実世界ではゲーム好きの孤独で冴えない青年が、骸骨の姿を…
かぐや様は告らせたい-ウルトラロマンティック-（2022年製作のアニメ）,4.3,7214,A-1 Pictures,"['古賀葵', '古川慎', '小原好美', '鈴木崚汰', '富田美憂', '花守ゆみり', '麻倉もも']","['鈴木雅之', '吉田菫', '鈴木愛理']",あと一歩
かぐや様は告らせたい-ウルトラロマンティック-（2022年製作のアニメ）,4.3,7214,A-1 Pictures,"['伊藤節生', '櫻井孝宏', '大塚明夫', '入野自由', '松岡禎丞', '星野貴紀', '種﨑敦美']",['亀田祥倫'],あと一歩
青の祓魔師（2011年製作のアニメ）,3.8,6958,A-1 Pictures,"['岡本信彦', '福山潤', '花澤香菜', '中井和哉', '遊佐浩二', '梶裕貴', '喜多村英梨']","['UVERworld', '2PM', ""ROOKiEZ is PUNK'D"", '黒木メイサ']",人間の住む「物質界(アッシャー)」と、悪魔の住む「虚無界(ゲヘナ)」。本来は干渉することすらできない二つの次元だが、悪魔はあらゆる物質に憑依し、物質界に干渉していた。しかし人間の中には、そんな悪魔を祓う─祓魔師(エクソシスト)が存在した。
るろうに剣心 -明治剣客浪漫譚- 序幕東京（2023年製作のアニメ）,3.6,2114,ライデンフィルム,"['斉藤壮馬', '高橋李依', '小市眞琴', '八代拓', '大西沙織']","['Ayase', 'R-指定', 'Reol', '菅田将暉']",誓いを剣に、願いを心に
ゆるキャン△ SEASON3（2024年製作のアニメ）,4.0,2804,エイトビット,"['花守ゆみり', '東山奈央', '原紗友里', '豊崎愛生', '高橋李依', '黒沢ともよ', '伊藤静']","['キミのね', '亜咲花']",たのしい、更新中。
桜蘭高校ホスト部（2006年製作のアニメ）,4.3,6423,ボンズ,"['坂本真綾', '宮野真守', '松風雅也', '鈴村健一', '織田圭祐', '齋藤彩夏', '桐井大介']",['高橋久美子'],超お金持ちのご令息・ご令嬢が通う名門校・桜蘭学院高校に、奨学特待生として入学した庶民の藤岡ハルヒ。母を亡くし男手ひとつで育てられたハルヒは、おしゃれに興味がなく、何事にも無頓着で男の子のような格好で学校に通っていた。 ある日、ハルヒは、ホスト部の部室に迷い込み、部室内の800万円の花瓶を割ってしまう。部員からその代金を請求されるが、庶民のハルヒは払えるわけがない・・。ところが、ホスト部部長・環は…
ワールドトリガー 3rdシーズン（2021年製作のアニメ）,4.3,4866,東映アニメーション,"['村中知', '梶裕貴', '田村奈央', '杉田智和', '野島裕史', '中村悠一', '島﨑信長']","['神はサイコロを振らない', 'FantasticYouth']",新たな脅威に立ち向かう界境防衛機関“ボーダー”の精鋭たち！
ダンジョンの中のひと（2024年製作のアニメ）,3.4,1139,OLM,"['千本木彩花', '鈴代紗弓', '楠見尚己', '飛田展男', '大塚芳忠', '市道真央（M・A・O）', '加藤渉']","['TrySail', 'ナナヲアカリ']",冒険の舞台裏で、働いてます。
Dr.STONE（2019年製作のアニメ）,4.1,19974,トムス・エンタテインメント,"['小林裕介', '古川慎', '市ノ瀬加那', '中村悠一', '沼倉愛美', '佐藤元', '前野智昭']","['BURNOUT SYNDROMES', 'Rude-α', 'PELICAN FANCLUB', '佐伯ユウスケ']",全人類が、謎の現象により一瞬で石化して数千年--。超人的な頭脳を持つ、根っからの科学少年・千空が目覚めた。文明が滅んだ石の世界(ストーンワールド)を前に、千空は、科学の力で世界を取り戻すことを決意。時を同じくしてよみがえった、体力自慢の幼馴染・大木大樹はじめ、仲間たちと、ゼロから文明を作り出していく--石器時代から現代文明まで、科学史200万年を駆け上がる！前代未聞のクラフト冒険譚(アドベンチャ…
ブルーピリオド（2021年製作のアニメ）,4.0,10419,セブン・アークス,"['峯田大夢', '花守ゆみり', '山下大輝', '河西健吾', '宮本侑芽']","['Omoinotake', 'mol-74']","成績優秀で世渡り上手な高校 2 年生・矢口八虎は、悪友たちと遊びながら、毎日を過ごしていた。
誰もが思う“リア充”……
そんな八虎は、いつも、どこかで虚しかった。
ある日、美術室で出会った１枚の絵に、八虎は心を奪われる。
「絵は、文字じゃない言語だから」
絵を通じてはじめて正直な気持ちを表現できた八虎は、美術のおもしろさに目覚め、衝動のままにスケッチブックへ向かっていく。
そして八虎は、ついに進…"
無職転生 ～異世界行ったら本気だす～ 第2クール（2021年製作のアニメ）,4.2,9367,スタジオバインド,"['内山夕実', '杉田智和', '加隈亜衣', '浪川大輔', '田中理恵', '大塚芳忠']",['大原ゆい子'],"「俺は、この異世界で本気だす！」
34歳・童貞・無職の引きこもりニート男。両親の葬儀の日に家を追い出された瞬間、トラックに轢かれ命を落としてしまう。目覚めると、なんと剣と魔法の異世界で赤ん坊に生まれ変わっていた！ゴミクズのように生きてきた男は、少年・ルーデウスとして異世界で本気をだして生きていく事を誓う。フィットア領転移事件で魔大陸に転移後、冒険者パーティ「デッドエンド」を結成し、魔大陸最南端の…"
ドロヘドロ（2020年製作のアニメ）,4.2,8653,MAPPA,"['高木渉', '近藤玲奈', '堀内賢雄', '細谷佳正', '小林ゆう', '高梨謙吾', '富田美憂']",['(K)NoW_NAME'],おいでませ、混沌。魔法によって顔をトカゲにされてしまった記憶喪失の男、カイマン。本当の顔と記憶を取り戻すため、相棒のニカイドウと一緒に自分に魔法をかけた魔法使いを探し続ける。いったい自分は何者なのか……。2000年の連載開始から18年にわたって愛され続けた林田球の「ドロヘドロ」（全23巻）。唯一無二の世界観によって国内外で熱狂的なファンを獲得し人気を誇っている。そのあまりにショッキングでカオスな…
ゴールデンカムイ 第4期（2022年製作のアニメ）,4.3,5826,ブレインズ・ベース,"['小林親弘', '白石晴香', '伊藤健太郎', '大塚芳忠', '中田譲治', '津田健次郎', '細谷佳正']","['ALI', 'THE SPELLBOUND']",樺太でついに再会した杉元とアシ(リ)パ。キロランケの死、尾形の逃亡など、衝撃的な出来事を乗り越え、相棒の契約を更新した2人は、ついにロシア領を後にした。杉元たち、第七師団、新選組・土方の一味、三つ巴の金塊争奪戦はさらなる激化を見せる。
Re:ゼロから始める異世界生活 2nd season 前半クール（2020年製作のアニメ）,4.0,11262,WHITE FOX,"['小林裕介', '高橋李依', '内山夕実', '水瀬いのり', '村川梨衣', '新井里美', '子安武人']","['鈴木このみ', 'nonoc']",限界を、ぶち破れ―
ソードアート・オンラインII（2014年製作のアニメ）,4.0,10057,A-1 Pictures,"['松岡禎丞', '戸松遥', '伊藤かな恵', '竹達彩奈', '沢城みゆき', '悠木碧', '茅野愛衣']","['藍井エイル', 'LiSA', '春奈るな']",漆黒の銃を持つ謎のアバターに撃たれたプレイヤーは、実際に現実世界でも《死》に至る――
NARUTO -ナルト-（2002年製作のアニメ）,4.4,8372,ぴえろ,"['竹内順子', '杉山紀彰', '中村千絵', '井上和彦', '藤原啓治', 'うえちあき', '半場友恵']","['ASIAN KUNG-FU GENERATION', 'サンボマスター', 'ORANGE RANGE', 'FLOW']",木ノ葉隠れの里の落ちこぼれ忍者、うずまきナルトは里一番の忍者「火影」を目指して日々奮闘中！個性豊かな忍たち、過酷な戦いを通じて芽生える友情、そして己の忍道を貫くために避けられない別れ…。自分と仲間を信じ、数々の試練に立ち向かう！
マッシュル-MASHLE- 神覚者候補選抜試験編（2024年製作のアニメ）,3.9,8036,A-1 Pictures,"['小林千晃', '川島零士', '石川界人', '江口拓也', '上田麗奈', '諏訪部順一', '小野友樹']","['Creepy Nuts', '私立恵比寿中学']",無敵なんで自分 かかってこいよ
ワールドトリガー 2ndシーズン（2021年製作のアニメ）,4.2,5551,東映アニメーション,"['村中知', '梶裕貴', '田村奈央', '中村悠一', '田中秀幸', '藤原啓治', '中尾衣里']","['神はサイコロを振らない', 'TOMORROW X TOGETHER']",新たな脅威に立ち向かう界境防衛機関“ボーダー”の精鋭たち！
食戟のソーマ（2015年製作のアニメ）,3.9,5273,J.C.STAFF,"['松岡禎丞', '種田梨沙', '髙橋ミナミ', '石上静香', '花江夏樹', '小野友樹', '赤﨑千夏']","['ウルトラタワー', 'ミソッカス', '東京カランコロン', '大森靖子']",下町の定食屋「ゆきひら」では、今日も父・城一郎と息子・創真が料理対決を繰り広げていた。中学を卒業したら実家「ゆきひら」で料理の修行をし、父を越える料理人を目指そうとしていた創真。だが突然の休業、そして父の提案により、日本屈指の料理学校「遠月茶寮料理學園」（遠月学園）の編入試験を受けることに。そこは最高峰の料理人だけを育てる、卒業到達率10%以下の超絶エリート校だった…。
ドラゴンボール（1986年製作のアニメ）,4.3,3800,東映アニメーション,"['野沢雅子', '鶴ひろみ', '古谷徹', '龍田直樹', '渡辺菜生子']","['高橋洋樹', '橋本潮']",ドラゴンボールを求めて始まる、摩訶不思議アドベンチャー！
暗殺教室 第2期（2016年製作のアニメ）,4.2,6869,Lerche,"['福山潤', '杉田智和', '伊藤静', '岡本信彦', '逢坂良太', '内藤玲', '田中美海']","['渕上舞', '洲崎綾', '岡本信彦', '逢坂良太', '浅沼晋太郎']",僕らの授業が、また始まる。
義妹生活（2024年製作のアニメ）,3.5,1018,スタジオディーン,"['天﨑滉平', '中島由貴', '鈴木みのり', '鈴木愛唯', '濱野大輝', '小林親弘', '上田麗奈']","['fhána', 'Kitri']",“他人”が“家族”へ、そしてその先へ。少しずつ変わりゆく日々を映す、恋愛生活物語。
異世界のんびり農家（2023年製作のアニメ）,3.4,1734,ZERO-G,"['阿部敦', '下地紫野', '洲崎綾', 'Lynn', '藤井ゆきよ', '富田美憂', 'Machico']","['下地紫野', '洲崎綾', '緋月ゆい']",異世界で掘って伐って耕して！ 自由気ままな農家生活！
るろうに剣心 -明治剣客浪漫譚- 京都動乱（2024年製作のアニメ）,3.8,261,ライデンフィルム,"['斉藤壮馬', '高橋李依', '小市眞琴', '八代拓', '大西沙織', '内田雄馬', '日野聡']","['キタニタツヤ', 'なとり', 'NOMELON NOLEMON']",修羅を断ち切れ
精霊幻想記2（2024年製作のアニメ）,3.2,119,トムス・エンタテインメント,"['松岡禎丞', '藤田茜', '桑原由気', '楠木ともり', '原田彩楓', '高野麻里佳', '大西亜玖璃']","['大西亜玖璃', '諏訪ななか']",前世と現世が交錯する――異世界転生ファンタジー新章開幕！！
先輩はおとこのこ（2024年製作のアニメ）,3.7,1403,project No.9,"['梅田修一朗', '関根明良', '内田雄馬', '中原麻衣', '前田佳織里', 'さとうあい', '葵あずさ']","['くじら', 'にしな']",“普通”じゃなくても、好きでいたい
